Timestep,Primary Energy Factor kWh/kWh delivered,Emissions Factor kgCO2e/kWh,Emissions Factor kgCO2e/kWh including out-of-scope emissions
84,1.969103316,0.086185206,0.086185206
85,1.969103316,0.086185206,0.086185206
86,1.969103316,0.086185206,0.086185206
87,1.969103316,0.086185206,0.086185206
88,1.969103316,0.086185206,0.086185206
89,1.969103316,0.086185206,0.086185206
90,1.969103316,0.086185206,0.086185206
91,1.969103316,0.086185206,0.086185206
92,1.969103316,0.086185206,0.086185206
93,1.969103316,0.086185206,0.086185206
94,1.969103316,0.086185206,0.086185206
95,1.969103316,0.086185206,0.086185206
96,1.969103316,0.086185206,0.086185206
97,1.969103316,0.086185206,0.086185206
98,1.969103316,0.086185206,0.086185206
99,1.969103316,0.086185206,0.086185206
100,1.969103316,0.086185206,0.086185206
101,1.969103316,0.086185206,0.086185206
102,1.969103316,0.086185206,0.086185206
103,1.969103316,0.086185206,0.086185206
104,1.969103316,0.086185206,0.086185206
105,1.969103316,0.086185206,0.086185206
106,1.969103316,0.086185206,0.086185206
107,1.969103316,0.086185206,0.086185206
108,1.969103316,0.086185206,0.086185206
109,1.969103316,0.086185206,0.086185206
110,1.969103316,0.086185206,0.086185206
111,1.969103316,0.086185206,0.086185206
112,1.969103316,0.086185206,0.086185206
113,1.969103316,0.086185206,0.086185206
114,1.969103316,0.086185206,0.086185206
115,1.969103316,0.086185206,0.086185206
116,1.969103316,0.086185206,0.086185206
117,1.969103316,0.086185206,0.086185206
118,1.969103316,0.086185206,0.086185206
119,1.969103316,0.086185206,0.086185206
120,1.969103316,0.086185206,0.086185206
121,1.969103316,0.086185206,0.086185206
122,1.969103316,0.086185206,0.086185206
123,1.969103316,0.086185206,0.086185206
124,1.969103316,0.086185206,0.086185206
125,1.969103316,0.086185206,0.086185206
126,1.969103316,0.086185206,0.086185206
127,1.969103316,0.086185206,0.086185206
128,1.969103316,0.086185206,0.086185206
129,1.969103316,0.086185206,0.086185206
130,1.969103316,0.086185206,0.086185206
131,1.969103316,0.086185206,0.086185206
132,1.969103316,0.086185206,0.086185206
133,1.969103316,0.086185206,0.086185206
134,1.969103316,0.086185206,0.086185206
135,1.969103316,0.086185206,0.086185206
136,1.969103316,0.086185206,0.086185206
137,1.969103316,0.086185206,0.086185206
138,1.969103316,0.086185206,0.086185206
139,1.969103316,0.086185206,0.086185206
140,1.969103316,0.086185206,0.086185206
141,1.969103316,0.086185206,0.086185206
142,1.969103316,0.086185206,0.086185206
143,1.969103316,0.086185206,0.086185206
144,1.969103316,0.086185206,0.086185206
145,1.969103316,0.086185206,0.086185206
146,1.969103316,0.086185206,0.086185206
147,1.969103316,0.086185206,0.086185206
148,1.969103316,0.086185206,0.086185206
149,1.969103316,0.086185206,0.086185206
150,1.969103316,0.086185206,0.086185206
151,1.969103316,0.086185206,0.086185206
152,1.969103316,0.086185206,0.086185206
153,1.969103316,0.086185206,0.086185206
154,1.969103316,0.086185206,0.086185206
155,1.969103316,0.086185206,0.086185206
156,1.969103316,0.086185206,0.086185206
157,1.969103316,0.086185206,0.086185206
158,1.969103316,0.086185206,0.086185206
159,1.969103316,0.086185206,0.086185206
160,1.969103316,0.086185206,0.086185206
161,1.969103316,0.086185206,0.086185206
162,1.969103316,0.086185206,0.086185206
163,1.969103316,0.086185206,0.086185206
164,1.969103316,0.086185206,0.086185206
165,1.969103316,0.086185206,0.086185206
166,1.969103316,0.086185206,0.086185206
167,1.969103316,0.086185206,0.086185206
168,1.969103316,0.086185206,0.086185206
169,1.969103316,0.086185206,0.086185206
170,1.969103316,0.086185206,0.086185206
171,1.969103316,0.086185206,0.086185206
172,1.969103316,0.086185206,0.086185206
173,1.969103316,0.086185206,0.086185206
174,1.969103316,0.086185206,0.086185206
175,1.969103316,0.086185206,0.086185206
176,1.969103316,0.086185206,0.086185206
177,1.969103316,0.086185206,0.086185206
178,1.969103316,0.086185206,0.086185206
179,1.969103316,0.086185206,0.086185206
180,1.969103316,0.086185206,0.086185206
181,1.969103316,0.086185206,0.086185206
182,1.969103316,0.086185206,0.086185206
183,1.969103316,0.086185206,0.086185206
184,1.969103316,0.086185206,0.086185206
